#	npi	provider_organization_name_legal_business_name	provider_first_line_business_practice_location_address	provider_second_line_business_practice_location_address	provider_business_practice_location_address_city_name	provider_business_practice_location_address_state_name	provider_business_practice_location_address_postal_code
1	1487647210	THERA CONNECTION INC	3351 INDEPENDENCE DR	SUITE 101	BIRMINGHAM	AL	352099000
2	1760475388	YAUCO HEALTHCARE CORPORATION	CARR 128 K.M 1.0		YAUCO	PR	00698
3	1114910676	HOWD LTC MANAGEMENT	7 KEELER AVE		MORAVIA	NY	131183688
4	1346234572	GREGORY N JOY, MD PLLC	8280 WILLETT PKWY	SUITE 204	BALDWINSVILLE	NY	130271320
5	1417941295	UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER	11937 US HIGHWAY 271		TYLER	TX	757083154
6	1437144771	OAKHAVEN NURSING CENTER LLC	123 OAK ST		DARLINGTON	SC	295322628
7	1194710343	SUMMER HILL NURSING HOME	111 ROUTE 516		OLD BRIDGE	NJ	088571421
8	1912992983	OMER H WHARTON-ALI MD A PROFESSIONAL CORPORATION	1703 CIVIC CENTER DR #1B		N LAS VEGAS	NV	890307273
9	1336134915	H A SCHACHTER ERNEST DICKER ETAL SHORE VIEW NURSING HOME	2865 BRIGHTON 3RD ST		BROOKLYN	NY	11235
10	1902036395	COMPREHENSIVE INTERVENTIONS, INC.	201 EAST ACADEMY STREET		ROBERSONVILLE	NC	27871
11	1821228958	THUNDER BAY COMMUNITY HEALTH SERVICE, INC	4549 M 33		ONAWAY	MI	497659623
12	1194718643	CAGUAS ORTHOPEDIC CENTER INC	VILLA DEL REY 4 FF4 CALLE 11		CAGUAS	PR	00725
13	1861485278	DAYTON RADIOLOGY ASSOCIATES INC	2591 MIAMISBURG CENTERVILLE RD		CENTERVILLE	OH	454593711
14	1437143625	DR. BLUMENFELD, P.A.	1733 CURIE DR		EL PASO	TX	799022910
15	1972596732	OPTOMETRIC CENTER OF CHARLES CITY PC	800 CLARK ST		CHARLES CITY	IA	506162218
16	1043203623	RESPIRATORY AT HOME PLUS	110 OAKCREST DR		MARION	NC	287524976
17	1447243035	LINDSBORG COMMUNITY HOSPITAL ASSN	605 W LINCOLN ST		LINDSBORG	KS	674562328
18	1619961877	ST LUKES EPISCOPAL CHURCH HOME CARE PROGRAM	ROYAL CLUB CONVENTION CENTER 2NDO PISO	AVE. COMERIO CARR. 167 KM. 19.5	BAYAMON	PR	00958
19	1578557732	MORRISON EYE ASSOCIATES INC	235 DIVISION ST		HARRISBURG	PA	171101213
20	1821082702	CLARKSVILLE ENDOSCOPY CENTER	132 HILLCREST DR		CLARKSVILLE	TN	370435000
21	1164415030	PULASKI COUNTY HEALTH DEPARTMENT	101 12TH STREET		CROCKER	MO	654529203
22	1669465209	FOUNDATION SURGERY AFFILIATE OF HUNTINGDON VALLEY LP	1800 BYBERRY ROAD	BUILDING 10	HUNTINGDON VALLEY	PA	19006
23	1528051935	PIGEON VALLEY REST HOME LLC	55 LAKE DR		CANTON	NC	287169312
24	1548254931	MARY RUTAN HOSPITAL	205 PALMER AVENUE		BELLEFONTAINE	OH	433112298
25	1932194222	WINDER HMA LLC	316 N BROAD ST		WINDER	GA	306802150
26	1952396038	READING OB-GYN P. C.	3701 PERKIOMEN AVE		READING	PA	196062739
27	1912992900	BOISE ENDOSCOPY CENTER, LLC	2235 E GALA ST		MERIDIAN	ID	836427090
28	1124013123	BRUNO RODRIGUEZ, INC	AVE COLON #4	SUITE #3	MANATI	PR	006743050
